3191	6972
2709	2708
1365	5812
60	8602
1611	11103
2830	5730
929	1400
3364	4551
993	1466
3654	8047
3550	2657
1495	6151
718	4636
2508	5858
3286	9644
209	6822
990	2594
1757	9780
2067	5952
3350	1665
2266	9802
612	8038
136	7957
2314	9217
3176	6526
480	9379
547	10384
1340	1304
2367	315
911	2729
3065	7657
1259	10230
199	6412
3631	9655
1233	8839
39	3967
1275	6495
3684	11087
2144	7885
655	3114
471	5910
2525	5509
298	7643
1979	687
1283	2250
839	7686
1323	6765
3137	7862
3072	11103
2454	7747
1002	4736
2681	2297
2023	9476
1057	7595
1853	8852
2784	6428
2030	3533
443	4612
2338	4146
3615	4127
873	4217
500	1046
2815	3877
3546	6377
2836	239
2292	1979
2911	6342
3200	1537
3440	725
1476	6506
1426	2915
2682	8111
2244	2935
1553	9216
583	4098
2364	8111
3550	4631
1106	966
1139	5434
1055	3083
11	1791
136	9843
24	7579
3507	2466
855	3782
3350	11171
1564	4080
1540	6463
3107	11103
708	4791
3239	5276
2626	11103
2229	8691
2573	940
2850	9507
1989	7966
3285	5036
731	9140
1072	164
3192	4945
325	218
2342	7300
2909	4492
2990	10835
2362	713
660	6135
3295	10728
1738	7679
1763	9038
392	6213
1283	1182
3239	8708
3241	6866
520	197
293	6816
3573	7646
1370	8455
353	10936
2798	2876
285	11103
416	1433
405	75
1163	5050
1629	4254
1843	2671
2407	6271
2645	10927
2097	10462
2710	2287
188	10070
2412	1785
2444	10253
979	8986
2313	58
653	6844
3239	10104
858	1032
421	812
3003	1259
74	5295
1081	7769
700	8106
3558	7083
136	8395
3473	7880
3224	3084
1399	1376
2933	10691
503	7380
3709	8066
569	1951
1422	7267
2149	190
1542	252
919	2071
1793	4160
1070	10684
1790	224
992	7811
2037	7141
1179	7933
3196	379
3284	6578
2832	5738
1160	3186
2709	10877
620	3729
1263	616
150	8585
1562	6569
389	9054
736	3881
3521	57
2643	535
2214	6455
2086	3653
2791	3714
2621	3911
354	7133
1861	10031
2560	10347
2363	4617
1051	5094
697	1915
2449	8545
3177	7589
1251	6380
3518	7776
721	2996
44	4109
2200	8083
1934	8038
1238	10223
30	5250
2727	3951
3716	5181
2575	7373
1009	1396
1106	3548
2973	4125
2023	9009
3156	4501
1954	10993
2711	1148
3104	3621
2804	4691
1855	3736
1941	239
3124	9590
598	3804
2479	1497
1086	3083
212	3699
1439	11127
1396	4673
2766	2448
1546	27
131	6856
3230	9966
687	284
3003	8136
2281	8126
668	2705
1182	206
2735	5998
2268	7719
1484	8091
1005	7705
2200	4609
2794	8366
2232	7351
2077	431
1407	2710
3684	4662
2634	9847
3180	5846
2414	3526
1461	4835
2743	25
2216	4909
2846	9845
2953	3636
2806	10434
2905	7946
1078	11244
1540	1934
876	6492
386	3711
662	1210
2128	9581
1848	9206
1127	1617
844	8829
423	9974
2594	481
2977	3895
3486	2134
1090	981
1749	9394
1234	6648
2815	1649
464	5813
1309	524
2708	1127
1779	8117
3554	1785
555	2827
359	2823
2028	2631
1033	343
32	3492
3474	4413
466	4706
826	3988
851	1382
1720	9415
971	329
1132	10861
968	2683
1429	8585
1772	6739
1625	5799
